file_id,innings,max_partnership,total_partnerships,avg_partnership,partnerships_50plus,partnerships_100plus
1304065,1,93,6,35.833333333333336,2,0
1304065,2,69,10,17.1,1,0
1304066,1,68,7,23.571428571428573,1,0
1304066,2,38,9,18.0,0,0
1304067,1,50,7,23.142857142857142,1,0
1304067,2,64,4,42.0,1,0
1304068,1,165,5,43.2,1,1
1304068,2,60,10,19.3,1,0
1304069,1,97,6,33.0,1,0
1304069,2,84,9,20.666666666666668,1,0
1304070,1,86,5,38.4,2,0
1304070,2,28,10,15.5,0,0
1304071,1,39,9,19.444444444444443,0,0
1304071,2,94,4,44.0,1,0
1304072,1,72,5,39.8,2,0
1304072,2,64,10,18.1,1,0
1304073,1,97,6,31.5,1,0
1304073,2,50,8,21.625,1,0
1304074,1,71,10,15.1,1,0
1304074,2,75,4,38.0,1,0
1304075,1,92,5,33.8,1,0
1304075,2,70,8,21.25,1,0
1304076,1,97,6,36.166666666666664,2,0
1304076,2,107,10,21.0,1,1
1304077,1,70,7,25.857142857142858,1,0
1304077,2,36,9,18.11111111111111,0,0
1304078,1,33,10,11.5,0,0
1304078,2,83,2,59.5,1,0
1304079,1,38,8,19.375,0,0
1304079,2,50,8,19.5,1,0
1304080,1,155,3,74.0,1,1
1304080,2,51,8,25.875,1,0
1304081,1,75,9,17.333333333333332,2,0
1304081,2,45,9,16.444444444444443,0,0
1304082,1,27,10,6.8,0,0
1304082,2,64,2,36.0,1,0
1304083,1,58,7,24.0,1,0
1304083,2,57,9,14.666666666666666,1,0
1304084,1,110,4,46.75,1,1
1304084,2,64,7,25.142857142857142,1,0
1304085,1,35,9,16.0,0,0
1304085,2,27,10,11.5,0,0
1304086,1,96,7,27.857142857142858,1,0
1304086,2,69,6,33.166666666666664,2,0
1304087,1,62,10,14.6,1,0
1304087,2,65,7,21.428571428571427,1,0
1304088,1,85,9,17.0,1,0
1304088,2,35,9,14.777777777777779,0,0
1304089,1,99,6,28.333333333333332,1,0
1304089,2,79,5,34.8,2,0
1304090,1,37,7,22.571428571428573,0,0
1304090,2,81,6,26.833333333333332,1,0
1304091,1,95,4,48.75,1,0
1304091,2,60,8,23.625,1,0
1304092,1,182,3,67.33333333333333,1,1
1304092,2,58,7,27.0,1,0
1304093,1,48,6,25.333333333333332,0,0
1304093,2,66,4,39.5,2,0
1304094,1,45,9,15.88888888888889,0,0
1304094,2,87,3,48.333333333333336,1,0
1304095,1,62,9,19.22222222222222,1,0
1304095,2,54,9,17.77777777777778,1,0
1304096,1,122,4,51.75,1,1
1304096,2,60,9,20.666666666666668,1,0
1304097,1,74,7,25.285714285714285,1,0
1304097,2,106,6,28.666666666666668,1,1
1304098,1,50,6,31.5,1,0
1304098,2,56,5,38.0,1,0
1304099,1,71,7,25.142857142857142,1,0
1304099,2,44,10,10.1,0,0
