full_name,data_name,team_2026,role,venue,venue_bat_innings,venue_runs,venue_balls,venue_bat_avg,venue_bat_sr,venue_bowl_innings,venue_wickets,venue_econ,venue_bowl_sr,venue_bat_score,venue_bowl_score
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Eden Gardens, Kolkata",2,95,61,47.5,155.74,,,,,111.3,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,0,1,0.0,0.0,,,,,0.0,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"M Chinnaswamy Stadium, Bengaluru",4,76,50,19.0,152.0,,,,,74.4,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"MA Chidambaram Stadium, Chennai",21,496,323,23.62,153.56,2,1,10.2,10.0,80.7,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Maharashtra Cricket Association Stadium, Pune",1,19,17,19.0,111.76,,,,,61.0,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Narendra Modi Stadium, Ahmedabad",4,89,60,22.25,148.33,1,0,16.5,,77.3,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,42,27,42.0,155.56,,,,,104.4,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,Rajiv Gandhi International Stadium,1,5,7,5.0,71.43,,,,,30.1,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",1,45,24,45.0,187.5,,,,,118.8,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Sawai Mansingh Stadium, Jaipur",1,52,33,52.0,157.58,,,,,117.5,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,Sharjah Cricket Stadium,3,44,47,14.67,93.62,1,0,9.0,,49.5,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,Sheikh Zayed Stadium,3,27,30,9.0,90.0,2,0,5.5,,41.2,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Wankhede Stadium, Mumbai",12,275,212,22.92,129.72,3,0,13.33,,71.9,
Shivam Dube,S Dube,Chennai Super Kings,all-rounder,"Zayed Cricket Stadium, Abu Dhabi",1,64,42,64.0,152.38,,,,,130.8,
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"Arun Jaitley Stadium, Delhi",,,,,,,,,,,
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"Barsapara Cricket Stadium, Guwahati",1,11,4,11.0,275.0,1,0,15.0,,105.4,
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,,,,,1,0,12.5,,,
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"Brabourne Stadium, Mumbai",,,,,,,,,,,
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"Dr DY Patil Sports Academy, Mumbai",,,,,,,,,,,
Jamie Overton,J Overton,Chennai Super Kings,all-rounder,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,,,,,,,,,,
